setid,appNumbers
667cd87c-f788-4b73-af32-2528cf7b0000,200318
61c7b4e0-aab6-4cf5-8471-f94be438c758,141562
f608217c-a778-426e-aaeb-0c34c70c98a3,200750
50cf9edb-f318-41d2-9b98-6ea3410e8128,098379
0cb546ce-5db1-47a7-85b0-b6800ecb3315,012491
2134d14f-3d1a-4564-9944-a47d594f031d,012491
0c3d01b7-be57-4031-adbe-5dbdd2a6d7f2,013076
510b4ec0-6762-4b29-9786-e5afa7350fa3,012965
895f434f-cd9c-4a39-823a-374c1b61826a,012965
d7c207d8-2b2d-4d6f-8c8b-94c31f53581a,
a39a0298-6453-4c21-a3b0-01c1a52a109b,141555
275a2c51-9679-4f42-b8cc-21b04369a056,141345
9c6e6a62-2a0f-4db8-a999-c9b8a3a98a74,200752
47429f8e-8dfa-4e00-b5ab-fc7c0e31c9eb,200753
20a0068d-0e86-4906-8253-f5acf284c23a,200304
3ec5ca1f-bded-459e-a813-24d931d50b9a,141568
74450a05-cd1f-44cd-8d65-8d9b370ac44f,141578
dba071d8-aea4-4355-8802-56d631ed83a6,200757
fc79a63f-e3a3-4781-9c8f-7a128310fa6c,141572
1c483aea-be01-4db5-9fac-c1d224a335e1,200332
e9ebdf50-d327-40ad-8000-abae9d5308e1,200760
09ca9a4f-7f9d-4682-ac12-00155d4ae5b9,200762
396ab09a-45d7-4fca-bd86-d6c23d6bc14b,200782
86848662-256e-4337-ba8a-692cf86aa439,200764
f6c09b8c-db64-4a4f-ac62-842b11d94a78,200765
2daeaf25-f98f-49d3-943c-f604a844d93c,141285
f1456f2e-0aae-4f11-b3d7-da81b8eb33cb,200766
2c1155f4-dd52-4627-acff-ab195deca9d9,200768
18060147-1b73-4fea-9310-036699e1f79e,
94cf5818-f27d-4374-87ad-54a2d9ce6ef1,110048
76fd165d-4f0b-4203-b8a0-e329987c62a7,200769
634a706f-4a00-4a04-86ae-a4d8c22b8271,113645
cbc95ffc-0c9d-489c-b95a-959206c0f1a3,141575
5441e5b2-cdc0-477a-bd9a-ec5f8d912281,141273
b461035d-9c3c-42e2-ae1a-3ad611fd5e8d,141556
a2224602-6f04-4b83-968a-8c193230998f,135940
39c00714-331d-49b1-a675-653b82b10c98,120161|135940
11813d97-fbc2-4c9e-a349-4d81ae769078,200749
e6c1f710-04b5-4515-8971-b60211182041,200772
8f5ffca5-e26c-4b29-9ce6-53ac44b4e2dc,141579|141437
f05b503c-135a-4884-9c89-53f14946f3e0,135780
ad274882-3c54-489f-bf78-c200b8ab348d,200438
ffa8dfa6-7128-42ec-b35a-e774b58ec148,141550
3357af32-f91b-4663-8f86-a2bcee7855ea,141288|140890
4e5af451-5e13-4bbd-99ad-24885f9eedfc,200728
9c351c60-02a0-4922-80ca-63b7ab2b857e,
b2c16014-6212-41e0-9461-70b597de0a13,118980
4c730e63-bd3f-4fd6-a74b-d4c97f7564bd,200630
d6e426fb-2639-44b2-a2cd-6a7fc848f215,200780
5a015a95-7617-4961-b401-283698a0ee70,
3d5cc810-e8c8-4b55-a7fd-0a9999cb6c37,141577
152cde64-ff22-4a3e-bb78-65e159dbe6b6,140854
4b4e54b5-e08b-4896-946a-be0e61177cd6,200781
595a4883-6b37-4190-9579-a2c7ca4738eb,140971
f8921713-cf98-46ea-ac69-0b152938a422,100094
a2843a87-265e-4d47-a89b-bee88107b0a6,200787
38872971-1154-45e1-a5e9-ff0b68bba60a,200784
08f1aecd-33c2-457b-8a45-c38fafb3a1c7,140929
7e9f01a8-fa9f-4773-8d8c-611db3606d62,141025
8eefc52a-6f0f-486f-8a27-94e457a42a06,200788
2231391d-c118-42ee-9aa9-5dc6883bff9a,200771
006035a8-b8da-47cb-924b-524c05da8641,141272
16b75f05-7d38-46c1-becf-447f0eca7f2f,141272
7dd5d1f2-ea05-4885-be93-c0d12c5eeca7,141272
d93a9b64-3404-4ef8-b953-5c2600644052,141272
44ee7ba6-f864-4b0e-ae0b-7d1c681588c9,141070
c7bfe38c-9249-466d-8718-8b8e82b99a8d,141071
bed54123-2083-465f-97f3-0a796f2a37c7,141120
2d9a5b98-f039-4b45-8824-afd881c68998,141123
4acea077-3f1a-4507-ab8c-2f65d9035c97,141254
3fc1a42b-6576-4890-aa0c-5c0eb903c85a,141251
466063b5-56f1-4f49-8edb-b0b390851335,140951
d1cbdde4-51c0-41e4-a171-f6c1391d7d8b,200783
7cf8669c-c000-4645-962e-891946c0e54b,141079
84e25a59-1db6-42bf-b27e-a25c4883a141,141080
590ff4a7-fab9-40a1-8075-7495b4c68a87,141034
4a4cabca-caa0-4df3-bc46-963f0804b54a,141305|141081
95d81bde-9044-4192-8820-9f6d88614128,141082
88a65861-b189-4d3c-9752-bdb6ce0dc916,140883
e3c095a2-6bbe-4b47-96e2-c2ac73b53eaf,140883
fe08dc5c-e1d3-44ca-837b-4ede07402771,140883
adf9a1c8-31bd-4301-ac25-814d13f34cae,141585
197a022a-bb94-4058-a4b7-96323e4b311e,141333
2e79052a-ae20-4e5b-9f29-438f751cbe4d,141084
691e6c6a-0ac6-4cc2-bd87-954bf6716735,140973
0307271c-0ec9-4590-85b7-7f6b48ef4c93,200489
a7d0b19d-e783-4e89-b451-0b58793615e1,200387
ef38da06-9556-4841-8a72-e57c1f8a3e28,200581
365b701f-e9a8-458f-90ff-33ca1fb947ca,141528
427f2ebc-ce24-452b-bbb3-43d4ef8b63b0,141494
3e3b495a-d45f-4499-97e8-3ea244e0f490,140893
6aeda328-97c9-4868-8ecb-b3a4dcdbc0a0,141263
3bc065ce-09d6-4131-a5a0-dca3909e0bc8,141262
61a071bb-34e7-49fd-9609-99e0cc105642,097222
4e7a6cfb-327b-4500-9fc8-e78de009587b,200803
652c0f4f-5045-470d-9e56-5b2a79328d4b,200793
fa320de6-6715-4ee7-af02-c489d417079f,095735
6ce16a8d-c57e-457c-83e8-f9e19119c5f9,095735
3e6db03e-55d5-4802-b0d2-3bc566e976b2,095735
fd10ed7f-122b-4d01-827a-1f5bcf0d7c68,200636
3e41ce52-9cc8-48a2-a1a5-2287934c10b3,141450|101479
